station,latitude,longitude,start,tripdurationS,end,tripdurationE,month
Riverview Park,40.7443187,-74.04399090000000,95,871.0,89,944.0,Mar
Monmouth and 6th,40.72568548362900,-74.0487903356552,294,307.5,271,283.0,Mar
Glenwood Ave,40.72755146730010,-74.07106071710590,120,891.5,94,843.5,Mar
Van Vorst Park,40.71848892,-74.047726625,372,389.0,370,505.0,Mar
Grand St,40.71517767732030,-74.03768330812450,239,366.0,240,417.5,Mar
Newport Pkwy,40.728744800000000,-74.03210820000000,641,693.0,693,711.0,Mar
Warren St,40.721123600000000,-74.03805095,434,368.5,426,391.0,Mar
5 Corners Library,40.73496102000950,-74.05950307846070,84,559.5,77,756.0,Mar
Liberty Light Rail,40.711242300000000,-74.0557013,676,1004.5,685,1480.0,Mar
Grove St PATH,40.71958611647170,-74.0431174635887,1335,286.0,1643,271.0,Mar
Montgomery St,40.71942,-74.05099,256,522.0,268,489.0,Mar
Oakland Ave,40.7376037,-74.05247830000000,133,378.0,105,487.0,Mar
Dixon Mills,40.72163014263840,-74.04996782541280,324,227.5,302,267.0,Mar
Hilltop,40.7311689,-74.0575736,172,599.5,126,670.0,Mar
Lafayette Park,40.71346382669200,-74.06285852193830,141,610.0,142,650.5,Mar
Christ Hospital,40.734785818,-74.050443636,101,496.0,85,632.0,Mar
Pershing Field,40.742677141,-74.051788633,185,628.0,181,656.0,Mar
Jackson Square,40.71113,-74.0789,64,976.0,63,774.0,Mar
Lincoln Park,40.7246050998869,-74.07840594649320,172,998.0,215,924.0,Mar
Dey St,40.737711,-74.066921,75,635.0,76,394.5,Mar
Hoboken Ave at Monmouth St,40.73520838045360,-74.04696375131610,138,620.5,155,530.0,Mar
Paulus Hook,40.7141454,-74.0335519,401,513.0,412,501.0,Mar
Journal Square,40.733670000000000,-74.0625,232,439.0,203,397.0,Mar
Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,64,795.5,66,687.0,Mar
Jersey & 6th St,40.72528910781130,-74.04557168483730,308,242.0,280,269.5,Mar
Heights Elevator,40.748715945380200,-74.04044330120090,98,1008.0,89,1269.0,Mar
Union St,40.71821130000000,-74.08363940000000,85,777.0,89,682.0,Mar
Bergen Ave,40.72210378668600,-74.07145500183100,209,366.0,212,363.0,Mar
Leonard Gordon Park,40.74590996631560,-74.05727148056030,71,778.0,60,830.0,Mar
York St,40.71649,-74.04105,140,345.5,161,452.0,Mar
Fairmount Ave,40.72572613742560,-74.07195925712580,124,745.0,121,723.0,Apr
Oakland Ave,40.7376037,-74.05247830000000,90,572.0,66,579.0,Apr
Sip Ave,40.73089709786180,-74.06391263008120,525,450.0,479,399.0,Apr
Lincoln Park,40.7246050998869,-74.07840594649320,95,972.0,105,1326.0,Apr
Newark Ave,40.72152515,-74.046304543,205,440.0,220,478.0,Apr
Morris Canal,40.7124188237569,-74.03852552175520,322,1379.5,337,1379.0,Apr
Paulus Hook,40.7141454,-74.0335519,277,1205.0,277,1215.0,Apr
Hamilton Park,40.727595966000000,-74.044247311,348,648.0,367,680.0,Apr
Monmouth and 6th,40.72568548362900,-74.0487903356552,147,618.0,135,595.0,Apr
Bergen Ave,40.72210378668600,-74.07145500183100,231,376.0,227,355.0,Apr
Pershing Field,40.742677141,-74.051788633,159,1107.0,152,1363.0,Apr
Harborside,40.71925170000000,-74.034234,370,990.0,353,837.0,Apr
City Hall,40.717732500000000,-74.04384500000000,225,811.0,245,800.0,Apr
Glenwood Ave,40.72755146730010,-74.07106071710590,78,1150.0,77,1267.0,Apr
Hilltop,40.7311689,-74.0575736,136,717.5,110,685.0,Apr
Marin Light Rail,40.71458403535890,-74.04281705617910,416,1237.5,404,990.5,Apr
Christ Hospital,40.734785818,-74.050443636,96,513.5,62,722.5,Apr
Jackson Square,40.71113,-74.0789,63,857.0,56,1048.0,Apr
Van Vorst Park,40.71848892,-74.047726625,217,790.0,225,807.0,Apr
Liberty Light Rail,40.711242300000000,-74.0557013,347,1656.0,360,1688.5,Apr
Essex Light Rail,40.712774200000000,-74.03648570000000,128,761.0,133,750.0,Apr
Jersey & 6th St,40.72528910781130,-74.04557168483730,112,805.0,120,956.0,Apr
Grand St,40.71517767732030,-74.03768330812450,110,674.5,127,855.0,Apr
York St,40.71649,-74.04105,90,1144.5,95,747.0,Apr
Union St,40.71821130000000,-74.08363940000000,64,918.5,71,760.0,Apr
Newport Pkwy,40.728744800000000,-74.03210820000000,682,1108.5,663,1251.0,Apr
Grove St PATH,40.71958611647170,-74.0431174635887,328,433.0,424,516.5,Apr
Baldwin at Montgomery,40.7236589,-74.0641943,172,611.5,162,707.5,Apr
Hoboken Ave at Monmouth St,40.73520838045360,-74.04696375131610,147,1916.0,144,1998.0,Apr
Lafayette Park,40.71346382669200,-74.06285852193830,31,626.0,38,824.5,Apr
Brunswick & 6th,40.726011729646200,-74.0503889322281,125,705.0,134,767.5,Apr
Columbus Dr at Exchange Pl,40.71687,-74.03281,240,1000.5,246,921.0,Apr
JC Medical Center,40.71653978099190,-74.0496379137039,258,880.0,254,910.0,Apr
Warren St,40.721123600000000,-74.03805095,239,780.0,240,762.5,Apr
Dey St,40.737711,-74.066921,62,1336.5,50,1253.5,Apr
Columbus Drive,40.71835519823210,-74.03891444206240,244,897.0,235,895.0,Apr
Dixon Mills,40.72163014263840,-74.04996782541280,122,536.5,117,520.0,Apr
Manila & 1st,40.72165072488000,-74.04288411140440,112,542.5,124,686.5,Apr
Jersey & 3rd,40.723331586464400,-74.04595255851740,114,441.5,116,457.5,Apr
Brunswick St,40.7241765,-74.05065640000000,112,1351.0,115,955.0,Apr
Montgomery St,40.71942,-74.05099,176,680.0,188,526.5,Apr
McGinley Square,40.7253399253558,-74.06762212514880,214,384.5,175,534.0,Apr
Newport PATH,40.7272235,-74.03375890000000,263,853.0,261,787.0,Apr
Washington St,40.7242941,-74.0354826,248,1207.5,242,1406.0,Apr
Riverview Park,40.7443187,-74.04399090000000,54,1309.5,53,1437.0,Apr
Astor Place,40.71928220070700,-74.07126188278200,100,488.5,105,457.0,Apr
Heights Elevator,40.748715945380200,-74.04044330120090,80,1747.0,90,2013.5,Apr
Journal Square,40.733670000000000,-74.0625,76,450.0,57,346.0,Apr
Leonard Gordon Park,40.74590996631560,-74.05727148056030,21,914.0,22,1260.0,Apr
5 Corners Library,40.73496102000950,-74.05950307846070,35,475.0,28,655.0,Apr
Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,38,1267.5,60,780.5,Apr
Sip Ave,40.73089709786180,-74.06391263008120,597,555.0,582,404.5,May
Columbus Dr at Exchange Pl,40.71687,-74.03281,910,1266.0,926,1342.0,May
Montgomery St,40.71942,-74.05099,320,774.5,325,620.0,May
Monmouth and 6th,40.72568548362900,-74.0487903356552,264,1010.5,262,564.5,May
McGinley Square,40.7253399253558,-74.06762212514880,301,671.0,257,865.0,May
Brunswick St,40.7241765,-74.05065640000000,320,1006.0,293,1137.0,May
Fairmount Ave,40.72572613742560,-74.07195925712580,213,737.0,195,573.0,May
Dixon Mills,40.72163014263840,-74.04996782541280,300,780.0,295,582.0,May
Morris Canal,40.7124188237569,-74.03852552175520,752,1572.5,759,1476.0,May
Newark Ave,40.72152515,-74.046304543,587,799.0,596,775.5,May
Oakland Ave,40.7376037,-74.05247830000000,126,693.0,93,941.0,May
Hamilton Park,40.727595966000000,-74.044247311,996,1135.5,1021,876.0,May
Harborside,40.71925170000000,-74.034234,937,1323.0,923,1210.0,May
Columbus Drive,40.71835519823210,-74.03891444206240,541,1179.0,556,969.0,May
Bergen Ave,40.72210378668600,-74.07145500183100,264,417.0,255,472.0,May
Grove St PATH,40.71958611647170,-74.0431174635887,1061,830.0,1108,784.0,May
JC Medical Center,40.71653978099190,-74.0496379137039,1068,1555.5,1075,1966.0,May
Hilltop,40.7311689,-74.0575736,247,983.0,219,923.0,May
Marin Light Rail,40.71458403535890,-74.04281705617910,1032,1413.5,1027,1459.0,May
Newport Pkwy,40.728744800000000,-74.03210820000000,1729,1547.0,1742,1550.0,May
Christ Hospital,40.734785818,-74.050443636,104,667.0,105,915.0,May
Jackson Square,40.71113,-74.0789,116,1030.5,119,1179.0,May
5 Corners Library,40.73496102000950,-74.05950307846070,82,1021.5,75,1015.0,May
Brunswick & 6th,40.726011729646200,-74.0503889322281,297,785.0,289,659.0,May
Jersey & 6th St,40.72528910781130,-74.04557168483730,288,867.0,286,774.0,May
Washington St,40.7242941,-74.0354826,684,1432.5,703,1488.0,May
Glenwood Ave,40.72755146730010,-74.07106071710590,129,1108.0,127,1434.0,May
Lafayette Park,40.71346382669200,-74.06285852193830,264,1487.0,285,1613.0,May
Union St,40.71821130000000,-74.08363940000000,145,1132.0,150,1052.5,May
City Hall,40.717732500000000,-74.04384500000000,808,1079.0,810,1142.5,May
Essex Light Rail,40.712774200000000,-74.03648570000000,274,1111.5,278,926.0,May
Liberty Light Rail,40.711242300000000,-74.0557013,2380,2415.5,2415,2272.0,May
Astor Place,40.71928220070700,-74.07126188278200,247,933.0,241,720.0,May
Journal Square,40.733670000000000,-74.0625,147,689.0,118,954.5,May
Lincoln Park,40.7246050998869,-74.07840594649320,482,1725.0,470,1815.5,May
Van Vorst Park,40.71848892,-74.047726625,600,1373.5,603,1582.0,May
Heights Elevator,40.748715945380200,-74.04044330120090,329,1692.0,328,1816.0,May
Jersey & 3rd,40.723331586464400,-74.04595255851740,382,704.5,385,1071.0,May
York St,40.71649,-74.04105,285,1351.0,270,964.5,May
Newport PATH,40.7272235,-74.03375890000000,688,1176.5,709,1285.0,May
Manila & 1st,40.72165072488000,-74.04288411140440,388,924.0,387,878.0,May
